Manufacturer,Model,Prod. year,Mileage,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Price,isTurbo
LEXUS,RX 450,2010.0,186005.0,Jeep,Yes,Hybrid,3.5,6.0,Automatic,4x4,Left wheel,Silver,12.0,13328.0,No
CHEVROLET,Equinox,2011.0,192000.0,Jeep,No,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,Black,8.0,16621.0,No
HONDA,FIT,2006.0,200000.0,Hatchback,No,Petrol,1.3,4.0,Variator,Front,Right-hand drive,Black,2.0,8467.0,No
FORD,Escape,2011.0,168966.0,Jeep,Yes,Hybrid,2.5,4.0,Automatic,4x4,Left wheel,White,0.0,3607.0,No
HONDA,FIT,2014.0,91901.0,Hatchback,Yes,Petrol,1.3,4.0,Automatic,Front,Left wheel,Silver,4.0,11726.0,No
HYUNDAI,Santa FE,2016.0,160931.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,39493.0,No
TOYOTA,Prius,2010.0,258909.0,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,Left wheel,White,12.0,1803.0,No
TOYOTA,Camry,2014.0,398069.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,1098.0,No
LEXUS,RX 350,2007.0,128500.0,Jeep,Yes,Petrol,3.5,6.0,Automatic,4x4,Left wheel,Silver,12.0,26657.0,No
FORD,Transit,1999.0,0.0,Microbus,No,CNG,4.0,8.0,Manual,Rear,Left wheel,Blue,0.0,8781.0,No
OPEL,Vectra,1997.0,350000.0,Goods wagon,No,CNG,1.6,4.0,Manual,Front,Left wheel,White,4.0,3000.0,No
LEXUS,RX 450,2013.0,138038.0,Jeep,Yes,Hybrid,3.5,6.0,Automatic,Front,Left wheel,White,12.0,1019.0,No
HYUNDAI,Santa FE,2016.0,76000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,59464.0,No
HYUNDAI,Elantra,2016.0,121840.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,Blue,12.0,7683.0,No
HYUNDAI,Elantra,2016.0,54317.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,White,4.0,28382.0,No
HYUNDAI,Elantra,2012.0,112645.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Silver,4.0,18826.0,No
TOYOTA,Prius,2012.0,187000.0,Sedan,Yes,Plug-in Hybrid,1.8,4.0,Automatic,Front,Left wheel,White,12.0,20698.0,No
TOYOTA,Camry,2017.0,39709.0,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,17562.0,No
FORD,Transit,2001.0,230000.0,Microbus,No,Diesel,2.0,4.0,Manual,Front,Left wheel,White,0.0,7840.0,Yes
OPEL,Vectra,1995.0,0.0,Sedan,No,Petrol,1.8,4.0,Automatic,Front,Left wheel,Green,4.0,4704.0,No
MERCEDES-BENZ,E 220,2006.0,210000.0,Sedan,Yes,Diesel,2.2,4.0,Tiptronic,Rear,Left wheel,Black,8.0,20385.0,Yes
HYUNDAI,Elantra,2011.0,158787.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Silver,4.0,14454.0,No
TOYOTA,Highlander,2009.0,420550.0,Jeep,Yes,Hybrid,3.3,6.0,Automatic,4x4,Left wheel,Blue,12.0,12074.0,No
MERCEDES-BENZ,Vito,2007.0,180000.0,Goods wagon,No,Diesel,2.0,6.0,Manual,Rear,Left wheel,White,4.0,15681.0,Yes
PORSCHE,Cayenne,2014.0,175056.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,White,12.0,19444.0,No
BMW,X5,2000.0,200000.0,Jeep,Yes,CNG,4.4,8.0,Automatic,4x4,Left wheel,Silver,6.0,6899.0,No
JEEP,Grand Cherokee,2007.0,250000.0,Jeep,Yes,Diesel,3.0,6.0,Tiptronic,4x4,Left wheel,Black,10.0,24462.0,Yes
HYUNDAI,Santa FE,2011.0,162000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,23235.0,No
HONDA,FIT,2010.0,158000.0,Hatchback,No,Hybrid,1.3,4.0,Automatic,Front,Right-hand drive,Black,4.0,7527.0,No
HYUNDAI,Elantra,2012.0,103490.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Silver,4.0,19121.0,No
TOYOTA,Camry,2013.0,203200.0,Sedan,Yes,Petrol,2.4,4.0,Automatic,Front,Left wheel,Blue,4.0,24462.0,No
HYUNDAI,H1,2016.0,61057.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Black,4.0,45734.0,No
VOLKSWAGEN,Jetta,2016.0,11200.0,Sedan,Yes,Petrol,1.4,4.0,Tiptronic,Front,Left wheel,Black,8.0,20165.0,Yes
HYUNDAI,Sonata,2014.0,141000.0,Sedan,Yes,Hybrid,2.4,4.0,Tiptronic,Front,Left wheel,White,12.0,21326.0,No
TOYOTA,Prius C,2012.0,128000.0,Hatchback,No,Hybrid,1.5,4.0,Variator,Front,Left wheel,Sky blue,8.0,15681.0,No
HYUNDAI,Santa FE,2017.0,100734.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,55390.0,No
TOYOTA,Aqua,2012.0,141500.0,Hatchback,No,Hybrid,1.5,4.0,Automatic,Front,Right-hand drive,Black,8.0,12544.0,No
HONDA,Civic,2016.0,87768.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Blue,4.0,34889.0,No
AUDI,Q5,2014.0,87000.0,Jeep,Yes,Petrol,2.0,1.0,Tiptronic,4x4,Left wheel,White,12.0,38500.0,No
MERCEDES-BENZ,C 180,2001.0,260000.0,Coupe,No,Petrol,2.0,4.0,Manual,Rear,Left wheel,Blue,0.0,8781.0,No
MERCEDES-BENZ,GLA 250,2019.0,5323.0,Jeep,Yes,Petrol,2.0,4.0,Tiptronic,4x4,Left wheel,Grey,0.0,87112.0,Yes
NISSAN,Juke,2015.0,87112.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,4x4,Left wheel,Black,0.0,1411.0,No
CHEVROLET,Cruze LT,2018.0,22000.0,Sedan,No,Petrol,1.4,4.0,Automatic,Front,Left wheel,Red,6.0,23521.0,Yes
FORD,Fusion,2013.0,83000.0,Sedan,No,Petrol,1.6,4.0,Tiptronic,Front,Left wheel,Silver,8.0,16935.0,Yes
TOYOTA,VOXY,2007.0,170000.0,Minivan,Yes,Petrol,2.4,4.0,Automatic,Front,Right-hand drive,Black,6.0,10349.0,No
NISSAN,Juke,2013.0,312118.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Black,0.0,7213.0,No
MERCEDES-BENZ,A 160,2004.0,130000.0,Sedan,No,Petrol,1.6,4.0,Tiptronic,Front,Left wheel,Black,6.0,5331.0,No
HYUNDAI,Tucson,2013.0,200279.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,20526.0,No
HYUNDAI,H1,2014.0,154672.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,34657.0,No
HYUNDAI,H1,2016.0,110969.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Black,4.0,36564.0,No
TOYOTA,Vitz,2001.0,210000.0,Hatchback,No,Petrol,1.5,4.0,Manual,Front,Right-hand drive,Sky blue,3.0,5488.0,No
HYUNDAI,H1,2015.0,148105.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,30063.0,No
CHEVROLET,Captiva,2011.0,255456.0,Jeep,Yes,Diesel,2.2,4.0,Automatic,Front,Left wheel,Silver,4.0,15800.0,No
HYUNDAI,H1,2017.0,111643.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Grey,4.0,43952.0,No
HYUNDAI,Santa FE,2016.0,84506.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,53154.0,No
TOYOTA,Prius,2011.0,288000.0,Hatchback,No,Hybrid,1.8,4.0,Automatic,Front,Left wheel,White,8.0,14740.0,No
FORD,Mustang,2016.0,75000.0,Cabriolet,Yes,Petrol,2.3,4.0,Tiptronic,Rear,Left wheel,Silver,6.0,42337.0,Yes
MERCEDES-BENZ,ML 350,2014.0,94362.0,Jeep,Yes,Petrol,3.5,6.0,Automatic,Rear,Left wheel,White,12.0,3763.0,No
TOYOTA,Prius,2012.0,175000.0,Sedan,No,Petrol,1.8,4.0,Automatic,Front,Left wheel,Silver,8.0,18189.0,No
TOYOTA,Highlander,2010.0,264877.0,Jeep,Yes,Hybrid,3.3,6.0,Automatic,4x4,Left wheel,White,12.0,5645.0,No
TOYOTA,Yaris,2019.0,27656.0,Sedan,Yes,Petrol,1.5,4.0,Automatic,Front,Left wheel,White,12.0,7527.0,No
HONDA,Civic,2014.0,16000.0,Sedan,No,Hybrid,1.4,8.0,Automatic,4x4,Right-hand drive,White,10.0,21953.0,No
HONDA,Cr-v,1998.0,0.0,Jeep,No,Petrol,2.0,4.0,Automatic,4x4,Right-hand drive,White,2.0,8154.0,No
TOYOTA,Camry,2012.0,195053.0,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Left wheel,Black,0.0,21953.0,No
HYUNDAI,Elantra,2012.0,121362.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Black,4.0,19121.0,No
HYUNDAI,Santa FE,2014.0,69191.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,36065.0,No
HONDA,FIT,2012.0,83000.0,Hatchback,Yes,Hybrid,1.3,4.0,Tiptronic,Front,Right-hand drive,Green,12.0,8781.0,No
CHEVROLET,Cruze,2010.0,40772.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,Black,4.0,6247.0,No
CHEVROLET,Orlando,2012.0,172000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,16289.0,No
DAEWOO,Lacetti,2008.0,103246.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,6981.0,No
HYUNDAI,Elantra,2016.0,105394.0,Sedan,No,Petrol,2.0,4.0,Tiptronic,Front,Left wheel,Black,12.0,27284.0,No
NISSAN,Patrol,1990.0,333333.0,Jeep,No,Diesel,2.8,4.0,Manual,Rear,Left wheel,Black,0.0,18817.0,Yes
HONDA,Civic,1997.0,0.0,Hatchback,Yes,Petrol,1.4,4.0,Manual,Front,Left wheel,Blue,6.0,4234.0,No
MERCEDES-BENZ,E 320,2004.0,214000.0,Sedan,Yes,Petrol,3.2,6.0,Tiptronic,Rear,Left wheel,Grey,8.0,15053.0,No
HYUNDAI,Genesis,2009.0,123346.0,Coupe,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,15458.0,No
CHEVROLET,Cruze,2014.0,80827.0,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,Left wheel,Green,12.0,2901.0,No
LEXUS,GX 460,2010.0,275240.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Silver,0.0,15681.0,No
MERCEDES-BENZ,Sprinter,2004.0,300000.0,Microbus,No,Diesel,2.2,4.0,Manual,Rear,Left wheel,White,1.0,26657.0,Yes
TOYOTA,Prius,2007.0,318400.0,Hatchback,No,Petrol,1.5,4.0,Automatic,Front,Left wheel,Silver,6.0,10663.0,No
FORD,Focus SE,2015.0,91200.0,Sedan,No,Petrol,2.0,4.0,Automatic,Front,Left wheel,Sky blue,10.0,12858.0,No
BMW,X5,2013.0,137802.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,Black,12.0,1019.0,No
KIA,Picanto,2016.0,107000.0,Hatchback,No,Petrol,1.2,4.0,Manual,Front,Left wheel,Silver,2.0,12858.0,No
BMW,328,2008.0,210408.0,Sedan,Yes,CNG,3.0,6.0,Tiptronic,Rear,Left wheel,White,12.0,15000.0,No
FORD,Explorer,2017.0,100567.0,Jeep,Yes,Petrol,2.3,4.0,Automatic,Front,Left wheel,Black,4.0,85553.0,No
HYUNDAI,H1,2016.0,86000.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Grey,4.0,44752.0,No
HYUNDAI,Elantra,2010.0,122740.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,White,4.0,17158.0,No
MITSUBISHI,Airtrek,2005.0,144000.0,Jeep,No,LPG,2.4,4.0,Tiptronic,4x4,Right-hand drive,White,16.0,12231.0,No
MITSUBISHI,Lancer,1997.0,100000.0,Sedan,No,Petrol,1.3,4.0,Manual,Rear,Left wheel,Red,0.0,1254.0,No
SSANGYONG,Korando,2013.0,85704.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,25591.0,No
HYUNDAI,Santa FE,2010.0,58962.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,14897.0,No
TOYOTA,Camry,2013.0,90000.0,Sedan,Yes,Hybrid,2.5,4.0,Tiptronic,Front,Left wheel,White,12.0,23521.0,No
TOYOTA,Highlander,2009.0,318358.0,Sedan,Yes,Hybrid,3.3,6.0,Automatic,4x4,Left wheel,Black,12.0,1019.0,No
FORD,Fusion,2015.0,71454.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,0.0,16935.0,No
TOYOTA,Camry,2012.0,0.0,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Left wheel,Black,6.0,19444.0,No
HYUNDAI,Sonata,2014.0,346470.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,11604.0,No
HYUNDAI,Santa FE,2016.0,59515.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Blue,4.0,51965.0,No
MERCEDES-BENZ,C 220,1999.0,111111.0,Sedan,No,Diesel,2.2,4.0,Manual,Rear,Left wheel,Silver,4.0,9408.0,Yes
HYUNDAI,H1,2008.0,74444.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Yellow,4.0,13328.0,No
NISSAN,Serena,2012.0,143000.0,Minivan,No,Petrol,2.0,4.0,Tiptronic,Front,Right-hand drive,White,12.0,17876.0,No
TOYOTA,RAV 4,2008.0,135000.0,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Left wheel,Silver,8.0,20071.0,No
HYUNDAI,H1,2011.0,124444.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Yellow,4.0,22894.0,No
HONDA,Civic,2012.0,146403.0,Sedan,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,White,0.0,2901.0,No
MITSUBISHI,Pajero,1997.0,142000.0,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Left wheel,Blue,6.0,15681.0,No
LEXUS,GX 460,2010.0,155821.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Black,0.0,39829.0,No
HYUNDAI,Sonata,2013.0,130000.0,Sedan,Yes,Petrol,2.4,4.0,Tiptronic,Front,Left wheel,Black,6.0,18660.0,No
MERCEDES-BENZ,E 300,2017.0,50930.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Rear,Left wheel,Black,12.0,22580.0,No
HYUNDAI,Sonata,2014.0,264872.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,11604.0,No
GMC,TERRAIN,2013.0,138958.0,Jeep,Yes,Petrol,2.4,4.0,Automatic,Front,Left wheel,Black,12.0,5488.0,No
TOYOTA,Camry,2018.0,35058.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,White,12.0,18817.0,No
FIAT,500,2011.0,141000.0,Coupe,No,Petrol,1.2,4.0,Automatic,Front,Right-hand drive,Red,4.0,9095.0,No
VOLKSWAGEN,Jetta,2014.0,82392.0,Sedan,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,12.0,1568.0,No
SUBARU,Legacy,2005.0,180000.0,Goods wagon,No,Petrol,2.0,6.0,Tiptronic,4x4,Right-hand drive,Blue,6.0,3136.0,Yes
HYUNDAI,Sonata,2016.0,279787.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,11290.0,No
TOYOTA,Sienna,2010.0,227200.0,Minivan,Yes,Petrol,3.5,6.0,Tiptronic,Front,Left wheel,White,16.0,36065.0,No
HYUNDAI,H1,2012.0,166144.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,21395.0,No
HYUNDAI,Sonata,2016.0,258706.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,15681.0,No
TOYOTA,Aqua,2016.0,25807.0,Hatchback,Yes,Petrol,1.5,4.0,Automatic,Front,Left wheel,Black,4.0,40070.0,No
MERCEDES-BENZ,A 170,2008.0,180000.0,Hatchback,No,Petrol,1.7,4.0,Automatic,Front,Left wheel,Golden,8.0,11917.0,No
LEXUS,NX 300,2018.0,18918.0,Jeep,Yes,Petrol,2.0,4.0,Tiptronic,Front,Left wheel,Black,6.0,72130.0,Yes
